127.0.0.1 - - [23/Sep/2014:02:17:43 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [23/Sep/2014:02:17:51 -0430] "GET /catalogo_productos_consola/jsp/administrar_documentos_productos.jsp HTTP/1.1" 302 -
127.0.0.1 - - [23/Sep/2014:02:17:52 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 3681
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 200 1864
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 200 539
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/utils/validaciones.js HTTP/1.1" 200 6548
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 200 1576
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 363
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 691
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 200 358
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 200 472
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 200 3885
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [23/Sep/2014:02:17:53 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [23/Sep/2014:02:18:01 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1411454881&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [23/Sep/2014:02:18:03 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [23/Sep/2014:02:18:03 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 3367
127.0.0.1 - - [23/Sep/2014:02:18:03 -0430] "GET /catalogo_productos_consola/css/plantillas/cuerpo.css HTTP/1.1" 200 112
